event_name,event_date
ufc fight night: bermudez vs. the korean zombie,2017-02-04
ufc fight night: bigfoot vs arlovski,2014-09-13
ufc fight night: bigfoot vs mir,2015-02-22
ufc fight night: bisping vs kennedy,2014-04-16
ufc fight night: bisping vs le,2014-08-23
ufc fight night: bisping vs leites,2015-07-18
ufc fight night: bisping vs. gastelum,2017-11-25
ufc fight night: blachowicz vs. jacare,2019-11-16
ufc fight night: blachowicz vs. rakic,2022-05-14
ufc fight night: blachowicz vs. santos,2019-02-23
ufc fight night: blanchfield vs. barber,2025-05-31
ufc fight night: blanchfield vs. fiorot,2024-03-30
ufc fight night: blaydes vs. aspinall,2022-07-23
ufc fight night: blaydes vs. daukaus,2022-03-26
ufc fight night: blaydes vs. dos santos,2020-01-25
ufc fight night: blaydes vs. lewis,2021-02-20
ufc fight night: blaydes vs. ngannou 2,2018-11-24
ufc fight night: blaydes vs. volkov,2020-06-20
ufc fight night: boetsch vs henderson,2015-06-06
ufc fight night: bonfim vs. brown,2025-11-08
ufc fight night: brown vs silva,2014-05-10
ufc fight night: brunson vs. holland,2021-03-20
ufc fight night: brunson vs. machida,2017-10-28
ufc fight night: brunson vs. shahbazyan,2020-08-01
ufc fight night: brunson vs. till,2021-09-04
ufc fight night: burns vs. brady,2024-09-07
ufc fight night: burns vs. morales,2025-05-17
ufc fight night: cannonier vs. borralho,2024-08-24
ufc fight night: cannonier vs. gastelum,2021-08-21
ufc fight night: cannonier vs. imavov,2024-06-08
ufc fight night: cannonier vs. rodrigues,2025-02-15
ufc fight night: cannonier vs. strickland,2022-12-17
ufc fight night: cejudo vs. dillashaw,2019-01-19
ufc fight night: cejudo vs. song,2025-02-22
ufc fight night: cerrone vs. medeiros,2018-02-18
ufc fight night: cerrone vs. till,2017-10-21
ufc fight night: chiesa vs. lee,2017-06-25
ufc fight night: chiesa vs. magny,2021-01-20
ufc fight night: condit vs alves,2015-05-30
ufc fight night: condit vs kampmann,2009-04-01
ufc fight night: condit vs kampmann 2,2013-08-28
ufc fight night: costa vs. vettori,2021-10-23
ufc fight night: covington vs. buckley,2024-12-14
ufc fight night: covington vs. lawler,2019-08-03
ufc fight night: covington vs. woodley,2020-09-19
ufc fight night: cowboy vs cowboy,2016-02-21
ufc fight night: cowboy vs miller,2014-07-16
ufc fight night: cowboy vs. edwards,2018-06-23
ufc fight night: cowboy vs. gaethje,2019-09-14
ufc fight night: cyborg vs. lansberg,2016-09-24
ufc fight night: dariush vs. tsarukyan,2023-12-02
ufc fight night: dawson vs. green,2023-10-07
ufc fight night: de randamie vs. ladd,2019-07-13
ufc fight night: de ridder vs. allen,2025-10-18
ufc fight night: dern vs. hill,2023-05-20
ufc fight night: dern vs. ribas 2,2025-01-11
ufc fight night: dern vs. rodriguez,2021-10-09
ufc fight night: dern vs. yan,2022-10-01
ufc fight night: diaz vs guillard,2009-09-16
ufc fight night: diaz vs neer,2008-09-17
ufc fight night: dillashaw vs cruz,2016-01-17
ufc fight night: dolidze vs. hernandez,2025-08-09
ufc fight night: dolidze vs. imavov,2024-02-03
ufc fight night: dos anjos vs. alvarez,2016-07-07
ufc fight night: dos anjos vs. edwards,2019-07-20
ufc fight night: dos anjos vs. ferguson,2016-11-05
ufc fight night: dos anjos vs. fiziev,2022-07-09
ufc fight night: dos anjos vs. lee,2019-05-18
ufc fight night: dos santos vs. ivanov,2018-07-14
ufc fight night: dos santos vs. tuivasa,2018-12-01
ufc fight night: edgar vs faber,2015-05-16
ufc fight night: edgar vs swanson,2014-11-22
ufc fight night: edgar vs. the korean zombie,2019-12-21
ufc fight night: edwards vs. brady,2025-03-22
ufc fight night: edwards vs. muhammad,2021-03-13
ufc fight night: emmett vs. murphy,2025-04-05
ufc fight night: emmett vs. stephens,2018-02-24
ufc fight night: emmett vs. topuria,2023-06-24
ufc fight night: emmett vs. vallejos,2026-03-14
ufc fight night: evans vs salmon,2007-01-25
ufc fight night: eye vs. calvillo,2020-06-13
ufc fight night: felder vs. dos anjos,2020-11-14
ufc fight night: felder vs. hooker,2020-02-22
ufc fight night: fight for the troops 2,2011-01-22
ufc fight night: fight for the troops 3,2013-11-06
ufc fight night: figueiredo vs. benavidez 2,2020-07-18
ufc fight night: fiziev vs. gamrot,2023-09-23
ufc fight night: florian vs gomi,2010-03-31
ufc fight night: florian vs lauzon,2008-04-02
ufc fight night: font vs. aldo,2021-12-04
ufc fight night: font vs. garbrandt,2021-05-22
