event_date,fighter_a,fighter_b,winner,method,finish_round,num_rounds,weight_class,title_bout,source,organization,a_kd,a_sig_str_landed,a_sig_str_attempted,a_td_landed,a_td_attempted,a_sub_att,a_rev,a_ctrl_seconds,b_kd,b_sig_str_landed,b_sig_str_attempted,b_td_landed,b_td_attempted,b_sub_att,b_rev,b_ctrl_seconds
2011-10-28,Corey Anderson,Jahmale Maxwell,Corey Anderson,SUB,,,,0,tapology,Downtown Showdown,,,,,,,,,,,,,,,,
2021-09-18,Malcolm Wellmaker,Victor Vorgar,Malcolm Wellmaker,KO/TKO,1.0,,,0,sherdog,Impact Promotions,,,,,,,,,,,,,,,,
2014-04-19,Journey Newson,Don Johnson,Journey Newson,SUB,2.0,,,0,sherdog,Main Event Sports,,,,,,,,,,,,,,,,
2012-03-31,Bobby Nash,Korey Kuppe,Bobby Nash,KO/TKO,,,,1,tapology,Michigan Regional,,,,,,,,,,,,,,,,
2011-02-25,Geoff Neal,Jeremy Taylor,Geoff Neal,KO/TKO,,,,0,tapology,Oklahoma Regional,,,,,,,,,,,,,,,,
2018-04-21,Sedriques Dumas,Jeremiah Hunter,Sedriques Dumas,,0.0,,,0,sherdog,Impact Promotions,,,,,,,,,,,,,,,,
2010-04-03,Leon Edwards,Carl Booth,Leon Edwards,SUB,2.0,,,0,sherdog,Bushido Challenge,,,,,,,,,,,,,,,,
2011-05-14,Damon Jackson,Chance Thackston,Damon Jackson,SUB,,,,0,tapology,Missouri Regional,,,,,,,,,,,,,,,,
2013-09-14,Ryan MacDonald,Kaleb Neugin,Kaleb Neugin,U-DEC,3.0,3.0,,0,sherdog,Kaged Productions,,,,,,,,,,,,,,,,
2011-03-19,Clay Collard,Olaf Ordaz,Clay Collard,KO/TKO,1.0,,,0,sherdog,Flash Academy MMA,,,,,,,,,,,,,,,,
2013-06-29,Michal Figlak,Joe Miles,Michal Figlak,SUB,1.0,,,0,sherdog,Strength & Honour,,,,,,,,,,,,,,,,
2019-04-06,Robert Ruchala,Kamil Osedowski,Robert Ruchala,U-DEC,3.0,3.0,,0,sherdog,Wirtuoz Challenge,,,,,,,,,,,,,,,,
2016-01-30,Joe Solecki,Taylor Mozingo,Joe Solecki,SUB,1.0,,,0,sherdog,King's Promotions,,,,,,,,,,,,,,,,
2006-09-01,Cameron Dollar,Eric Fagyas,Eric Fagyas,U-DEC,,,,0,tapology,Colorado Regional,,,,,,,,,,,,,,,,
2015-02-28,Alonzo Menifield,Eric Miguel,Alonzo Menifield,KO/TKO,1.0,,,0,tapology,Xtreme Fight Club,,,,,,,,,,,,,,,,
2018-05-12,Rizvan Kuniev,Muhammad Saidov,Rizvan Kuniev,,0.0,,,1,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2014-09-26,Petr Yan,Elgun Mamedov,Petr Yan,KO/TKO,2.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
2014-09-26,Petr Yan,Goga Shamatava,Goga Shamatava,KO/TKO,2.0,,,0,sherdog,Russian MMA Union,,,,,,,,,,,,,,,,
