event_date,fighter1,fighter2,event_name,bfo_url
2019-12-07,Cody Stamann,Song Yadong,UFC Fight Night: Overeem vs. Rozenstruik,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
2020-01-18,Brian Kelleher,Ode Osbourne,UFC 246: McGregor vs. Cowboy,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
2020-06-20,Tecia Torres,Brianna Fortino,UFC Fight Night: Blaydes vs. Volkov,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897
2020-08-15,Kai Kamaka,Tony Kelley,UFC 252: Miocic vs. Cormier 3,https://www.bestfightodds.com/events/ufc-252-miocic-vs-cormier-3-1919
2020-09-19,Donald Cerrone,Niko Price,UFC Fight Night: Covington vs. Woodley,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
2020-10-03,Charles Jourdain,Josh Culibao,UFC Fight Night: Holm vs. Aldana,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
2020-10-24,Da Woon Jung,Sam Alvey,UFC 254: Khabib vs. Gaethje,https://www.bestfightodds.com/events/ufc-254-khabib-vs-gaethje-1958
2021-02-06,Timur Valiev,Martin Day,UFC Fight Night: Overeem vs. Volkov,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029
2021-02-06,Ode Osbourne,Jerome Rivera,UFC Fight Night: Overeem vs. Volkov,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029
2021-02-27,Montana De La Rosa,Mayra Bueno Silva,UFC Fight Night: Rozenstruik vs. Gane,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
2021-03-13,Leon Edwards,Belal Muhammad,UFC Fight Night: Edwards vs. Muhammad,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048
2021-03-13,Eryk Anders,Darren Stewart,UFC Fight Night: Edwards vs. Muhammad,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048
2021-05-01,Ion Cutelaba,Dustin Jacoby,UFC Fight Night: Reyes vs. Prochazka,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
2021-06-05,Alan Patrick,Mason Jones,UFC Fight Night: Rozenstruik vs. Sakai,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
2021-06-26,Andre Fili,Daniel Pineda,UFC Fight Night: Gane vs. Volkov,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
2021-07-31,Danny Chavez,Kai Kamaka,UFC Fight Night: Hall vs. Strickland,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
2021-09-18,Gustavo Lopez, Alatengheili,UFC Fight Night: Smith vs. Spann,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
2021-10-23,Grant Dawson,Ricky Glenn,UFC Fight Night: Costa vs. Vettori,https://www.bestfightodds.com/events/ufc-fight-night-costa-vs-vettori-2203
2022-02-05,John Castaneda,Miles Johns,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-02-05,Chidi Njokuani,Marc-Andre Barriault,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-02-05,Alexis Davis,Julija Stoliarenko,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-02-05,Jailton Almeida,Danilo Marques,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-02-05,Phil Rowe,Jason Witt,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-02-05,Malcolm Gordon,Denys Bondar,UFC Fight Night: Hermansson vs. Strickland,https://www.bestfightodds.com/events/ufc-fight-night-202-2339
2022-04-09,Mike Malott,Mickey Gall,UFC 273: Volkanovski vs. The Korean Zombie,https://www.bestfightodds.com/events/ufc-273-2411
2022-06-11,Kyung Ho Kang,Batgerel Danaa,UFC 275: Teixeira vs. Prochazka,https://www.bestfightodds.com/events/ufc-275-2457
2022-06-11,Silvana Gomez Juarez,Liang Na,UFC 275: Teixeira vs. Prochazka,https://www.bestfightodds.com/events/ufc-275-2457
2022-06-11,Joselyne Edwards,Ramona Pascual,UFC 275: Teixeira vs. Prochazka,https://www.bestfightodds.com/events/ufc-275-2457
2022-07-02,Pedro Munhoz,Sean O'Malley,UFC 276: Adesanya vs. Cannonier,https://www.bestfightodds.com/events/ufc-276-adesanya-vs-cannonier-2478
2022-07-30,Don'Tale Mayes,Hamdy Abdelwahab,UFC 277: Pena vs. Nunes 2,https://www.bestfightodds.com/events/ufc-277-pena-vs-nunes-2-2517
