event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,event_name,source_url
2016-02-27,Brad Scott,Krzysztof Jotko,2016-02-27,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Silva vs Bisping,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
2016-03-19,Bec Rawlings,Seo Hee Ham,2016-03-19,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Hunt vs Mir,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
2016-04-10,Robert Whiteford,Lucas Martins,2016-04-10,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Rothwell vs Dos Santos,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
2016-05-08,Yuta Sasaki,Willie Gates,2016-05-08,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Overeem vs Arlovski,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
2016-06-04,Dustin Poirier,King Green,2016-06-04,0,0.5,0.5,1.26,1.26,1,UFC 199: Rockhold vs. Bisping 2,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
2017-01-15,Jocelyn Jones-Lybarger,Nina Nunes,2017-01-15,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Rodriguez vs. Penn,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
2017-02-11,Wilson Reis,Yuta Sasaki,2017-02-11,0,0.5,0.5,1.26,1.26,1,UFC 208: Holm vs. De Randamie,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
2017-03-18,Brad Scott,Scott Askham,2017-03-18,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Manuwa vs. Anderson,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
2017-03-18,Daniel Omielanczuk,Timothy Johnson,2017-03-18,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Manuwa vs. Anderson,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
2017-04-15,King Green,Rashid Magomedov,2017-04-15,0,0.5,0.5,1.26,1.26,1,UFC on FOX: Johnson vs. Reis,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
2017-05-13,James Vick,Marco Polo Reyes,2017-05-13,0,0.5,0.5,1.26,1.26,1,UFC 211: Miocic vs. Dos Santos,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
2017-05-28,Nicholas Musoke,Bojan Velickovic,2017-05-28,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Gustafsson vs. Teixeira,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
2017-06-03,Antonio Carlos Junior,Eric Spicely,2017-06-03,0,0.5,0.5,1.26,1.26,1,UFC 212: Aldo vs. Holloway,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
2017-06-17,Justin Scoggins,Yuta Sasaki,2017-06-17,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Holm vs. Correia,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
2017-06-25,Carla Esparza,Maryna Moroz,2017-06-25,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Chiesa vs. Lee,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
2017-08-05,Brad Scott,Jack Hermansson,2017-08-05,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Pettis vs. Moreno,https://www.bestfightodds.com/events/ufc-fight-night-114-pettis-vs-moreno-1307
2017-09-22,Jussier Formiga,Yuta Sasaki,2017-09-22,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Saint Preux vs. Okami,https://www.bestfightodds.com/events/ufc-fight-night-117-saint-preux-vs-okami-1332
2017-11-11,Angela Hill,Nina Nunes,2017-11-11,0,0.5,0.5,1.22,1.22,1,UFC Fight Night: Poirier vs. Pettis,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
2017-12-30,Cristiane Justino,Holly Holm,2017-12-30,0,0.5,0.5,1.36,1.36,1,UFC 219: Cyborg vs. Holm,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
2017-12-30,Myles Jury,Ricky Glenn,2017-12-30,0,0.5,0.5,1.26,1.26,1,UFC 219: Cyborg vs. Holm,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
2018-01-27,Erik Koch,King Green,2018-01-27,0,0.5,0.5,1.26,1.26,1,UFC Fight Night: Jacare vs. Brunson 2,https://www.bestfightodds.com/events/ufc-on-fox-27-jacare-vs-brunson-2-1413
2018-06-23,Jenel Lausa,Yuta Sasaki,2018-06-23,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Cowboy vs. Edwards,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
2018-07-14,Dennis Bermudez,Ricky Glenn,2018-07-14,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Dos Santos vs. Ivanov,https://www.bestfightodds.com/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504
2018-07-28,Randa Markos,Nina Nunes,2018-07-28,0,0.5,0.5,1.21,1.21,1,UFC Fight Night: Alvarez vs. Poirier 2,https://www.bestfightodds.com/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502
2018-09-08,Robert Sanchez,Jarred Brooks,2018-09-08,0,0.5,0.5,1.22,1.22,1,UFC 228: Woodley vs. Till,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
2018-11-17,Alexandre Pantoja,Yuta Sasaki,2018-11-17,0,0.665762,0.334238,1.245056,2.48,2,UFC Fight Night: Magny vs. Ponzinibbio,https://www.bestfightodds.com/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578
2018-12-08,Claudia Gadelha,Nina Nunes,2018-12-08,0,0.652327,0.347673,1.25515,2.355,2,UFC 231: Holloway vs. Ortega,https://www.bestfightodds.com/events/ufc-231-holloway-vs-ortega-1584
2018-12-15,King Green,Drakkar Klose,2018-12-15,0,0.382698,0.617302,2.105,1.305,2,UFC Fight Night: Lee vs. Iaquinta,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
2018-12-29,Cristiane Justino,Amanda Nunes,2018-12-29,0,0.592798,0.407202,1.404742,2.045,2,UFC 232: Jones vs. Gustafsson 2,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
