event_date,fighter_a,fighter_b
2011-01-22,Pat Barry,Joey Beltran
2011-01-22,Melvin Guillard,Evan Dunham
2011-01-22,Matt Mitrione,Tim Hague
2011-01-22,Mark Hominick,George Roop
2011-01-22,DaMarques Johnson,Mike Guymon
2011-01-22,Cole Miller,Matt Wiman
2011-01-22,Cody McKenzie,Yves Edwards
2011-01-22,Charlie Brenneman,Amilcar Alves
2011-02-05,Paul Taylor,Gabe Ruediger
2011-02-05,Norifumi Yamamoto,Demetrious Johnson
2011-02-05,Mike Pierce,Kenny Robertson
2011-02-05,Miguel Torres,Antonio Banuelos
2011-02-05,Kyle Kingsbury,Ricardo Romero
2011-02-05,Jon Jones,Ryan Bader
2011-02-05,Jake Ellenberger,Carlos Eduardo Rocha
2011-02-05,Forrest Griffin,Rich Franklin
2011-02-05,Donald Cerrone,Paul Kelly
2011-02-05,Chad Mendes,Michihiro Omigawa
2011-02-05,Anderson Silva,Vitor Belfort
2011-02-26,Tom Blackledge,Anthony Perosh
2011-02-26,Tiequan Zhang,Jason Reinhardt
2011-02-26,Ross Pearson,Spencer Fisher
2011-02-26,Zhang Tiequan,Jason Reinhardt
2011-02-26,Nick Ring,Riki Fukuda
2011-02-26,Michael Bisping,Jorge Rivera
2011-02-26,Chris Camozzi,Kyle Noke
2011-02-26,Maciej Jewtuszko,Curt Warburton
2011-02-26,George Sotiropoulos,Dennis Siver
2011-02-26,Brian Ebersole,Chris Lytle
2011-02-26,BJ Penn,Jon Fitch
2011-02-26,Alexander Gustafsson,James Te Huna
2011-02-26,Mark Hunt,Chris Tuchscherer
2011-03-03,Thiago Tavares,Shane Roller
2011-03-03,Takeya Mizugaki,Reuben Duran
2011-03-03,Steve Cantwell,Cyrille Diabate
2011-03-03,Rob Kimmons,Dongi Yang
2011-03-03,Joe Stevenson,Danny Castillo
2011-03-03,Igor Pokrajac,Todd Brown
2011-03-03,Diego Sanchez,Martin Kampmann
2011-03-03,David Branch,Rousimar Palhares
2011-03-03,CB Dollaway,Mark Munoz
2011-03-03,Brian Bowles,Damacio Page
2011-03-03,Alessio Sakara,Chris Weidman
2011-03-19,Urijah Faber,Eddie Wineland
2011-03-19,Ricardo Almeida,Mike Pyle
2011-03-19,Mirko Filipovic,Brendan Schaub
2011-03-19,Mirko Cro Cop,Brendan Schaub
2011-03-19,Mauricio Rua,Jon Jones
2011-03-19,Luiz Cane,Eliot Marshall
2011-03-19,Kurt Pellegrino,Gleison Tibau
2011-03-19,Constantinos Philippou,Nick Catone
2011-03-19,Jim Miller,Kamal Shalorus
2011-03-19,Erik Koch,Raphael Assuncao
2011-03-19,Edson Barboza,Anthony Njokuani
2011-03-19,Dan Miller,Nate Marquardt
2011-03-19,Costas Philippou,Nick Catone
2011-03-19,Joseph Benavidez,Ian Loveland
2011-03-26,Mario Miranda,Aaron Simpson
2011-03-26,Waylon Lowe,Nik Lentz
2011-03-26,Phil Davis,Rogerio Nogueira
2011-03-26,Michael McDonald,Edwin Figueroa
2011-03-26,Jon Madsen,Mike Russow
2011-03-26,Sean McCorkle,Christian Morecraft
2011-03-26,John Hathaway,Kris McCray
2011-03-26,Alex Caceres,Mackens Semerzier
2011-03-26,Anthony Johnson,Dan Hardy
2011-03-26,Johny Hendricks,TJ Waldburger
2011-03-26,DaMarques Johnson,Amir Sadollah
2011-03-26,Chan Sung Jung,Leonard Garcia
2011-04-30,Yves Jabouin,Pablo Garza
2011-04-30,Vladimir Matyushenko,Jason Brilz
2011-04-30,Nate Diaz,Rory MacDonald
2011-04-30,Mark Bocek,Benson Henderson
2011-04-30,Jose Aldo,Mark Hominick
2011-04-30,Lyoto Machida,Randy Couture
2011-04-30,Jason MacDonald,Ryan Jensen
2011-04-30,Jake Ellenberger,Sean Pierson
2011-04-30,Ivan Menjivar,Charlie Valencia
2011-04-30,Georges St-Pierre,Jake Shields
2011-04-30,Daniel Roberts,Claude Patrick
2011-04-30,John Makdessi,Kyle Watson
2011-05-28,Thiago Alves,Rick Story
2011-05-28,Stefan Struve,Travis Browne
2011-05-28,Rampage Jackson,Matt Hamill
2011-05-28,Quinton Jackson,Matt Hamill
2011-05-28,Miguel Torres,Demetrious Johnson
2011-05-28,Kendall Grove,Tim Boetsch
2011-05-28,Gleison Tibau,Rafaello Oliveira
2011-05-28,Frank Mir,Roy Nelson
2011-05-28,Cole Escovedo,Renan Barao
2011-05-28,Brian Stann,Jorge Santiago
2011-05-28,Michael McDonald,Chris Cariaso
2011-06-04,Scott Jorgensen,Ken Stone
2011-06-04,Ryan McGillivray,Shamar Bailey
2011-06-04,Reuben Duran,Francisco Rivera
2011-06-04,Ramsey Nijem,Tony Ferguson
2011-06-04,Josh Grispi,George Roop
2011-06-04,Fabio Maldonado,Kyle Kingsbury
2011-06-04,Danny Downes,Jeremy Stephens
2011-06-04,Clay Harvison,Justin Edwards
2011-06-04,Clay Guida,Anthony Pettis
2011-06-04,Chuck O'Neil,Chris Cope
2011-06-04,Ed Herman,Tim Credeur
2011-06-11,Mike Massenzio,Krzysztof Soszynski
2011-06-11,Yves Edwards,Sam Stout
2011-06-11,Vagner Rocha,Donald Cerrone
2011-06-11,Shane Carwin,Junior Dos Santos
2011-06-11,Nick Ring,James Head
2011-06-11,Mark Munoz,Demian Maia
2011-06-11,Kenny Florian,Diego Nunes
2011-06-11,Joey Beltran,Aaron Rosa
2011-06-11,Jesse Bongfeldt,Chris Weidman
2011-06-11,Dustin Poirier,Jason Young
2011-06-11,Dave Herman,Jon Olav Einemo
2011-06-11,Darren Elkins,Michihiro Omigawa
2011-06-26,Tyson Griffin,Manvel Gamburyan
2011-06-26,Ricardo Lamas,Matt Grice
2011-06-26,Nik Lentz,Charles Oliveira
2011-06-26,Michael Johnson,Edward Faaloloto
2011-06-26,Matt Brown,John Howard
2011-06-26,Joe Stevenson,Javier Vazquez
2011-06-26,Joe Lauzon,Curt Warburton
2011-06-26,Daniel Roberts,Rich Attonito
2011-06-26,Christian Morecraft,Matt Mitrione
2011-06-26,Cheick Kongo,Pat Barry
2011-06-26,Charlie Brenneman,Rick Story
2011-07-02,Wanderlei Silva,Chris Leben
2011-07-02,Tito Ortiz,Ryan Bader
2011-07-02,Melvin Guillard,Shane Roller
2011-07-02,Jeff Hougland,Donny Walker
2011-07-02,Dominick Cruz,Urijah Faber
2011-07-02,George Sotiropoulos,Rafael Dos Anjos
2011-07-02,Carlos Condit,Dong Hyun Kim
2011-07-02,Brian Bowles,Takeya Mizugaki
2011-07-02,Brad Tavares,Aaron Simpson
2011-07-02,Anthony Njokuani,Andre Winner
2011-07-02,Dennis Siver,Matt Wiman
2011-08-06,Matt Hamill,Alexander Gustafsson
2011-08-06,Vitor Belfort,Yoshihiro Akiyama
2011-08-06,Rory MacDonald,Mike Pyle
2011-08-06,Rashad Evans,Tito Ortiz
2011-08-06,Rafael Natal,Paul Bradley
2011-08-06,Mike Brown,Nam Phan
2011-08-06,Jorge Rivera,Constantinos Philippou
2011-08-06,Johny Hendricks,Mike Pierce
2011-08-06,Ivan Menjivar,Nick Pace
2011-08-06,Dennis Hallman,Brian Ebersole
2011-08-06,Chad Mendes,Rani Yahya
2011-08-06,Jorge Rivera,Costas Philippou
2011-08-14,Jim Miller,Benson Henderson
2011-08-14,Jimy Hettes,Alex Caceres
2011-08-14,Jacob Volkmann,Danny Castillo
2011-08-14,Ronny Markes,Karlos Vemola
2011-08-14,Joseph Benavidez,Eddie Wineland
2011-08-14,Edwin Figueroa,Jason Reinhardt
2011-08-14,CB Dollaway,Jared Hamman
2011-08-14,Donald Cerrone,Charles Oliveira
2011-08-14,Dan Hardy,Chris Lytle
2011-08-14,Cole Miller,TJ O'Brien
2011-08-14,Ed Herman,Kyle Noke
2011-08-14,Amir Sadollah,Duane Ludwig
2011-08-27,Thiago Tavares,Spencer Fisher
2011-08-27,Rousimar Palhares,Dan Miller
2011-08-27,Ross Pearson,Edson Barboza
2011-08-27,Raphael Assuncao,Johnny Eduardo
2011-08-27,Paulo Thiago,David Mitchell
2011-08-27,Minotauro Nogueira,Brendan Schaub
2011-08-27,Yves Jabouin,Ian Loveland
2011-08-27,Luiz Cane,Stanislav Nedkov
2011-08-27,Iuri Alcantara,Felipe Arantes
2011-08-27,Erick Silva,Luis Ramos
2011-08-27,Antonio Rodrigo Nogueira,Brendan Schaub
2011-08-27,Anderson Silva,Yushin Okami
2011-08-27,Mauricio Rua,Forrest Griffin
2011-09-17,TJ Waldburger,Mike Stumpf
2011-09-17,Robert Peralta,Mike Lullo
