event_date,fighter_a,fighter_b,query_date,offset_days,a_fair_prob,b_fair_prob,a_decimal_odds,b_decimal_odds,num_bookmakers,source_url,source_fighter_page,source_row_text
2026-03-28,Casey O'Neill,Gabriella Fernandes,2026-03-28,0,0.530546,0.469454,1.787402,2.02,5,https://www.bestfightodds.com/events/ufc-seattle-4095,https://www.bestfightodds.com/fighters/Casey-Oneill-21268,Gabriella Fernandes | -130 | -113 | ... | +110 | Mar 28th 2026
2026-03-28,Israel Adesanya,Joe Pyfer,2026-03-28,0,0.555957,0.444043,1.70922,2.14,5,https://www.bestfightodds.com/events/ufc-seattle-4018,https://www.bestfightodds.com/fighters/Israel-Adesanya-7845,Joe Pyfer | -110 | +102 | ... | +122 | Mar 29th 2026
2026-03-28,Mansur Abdul-Malik,Yousri Belgaroui,2026-03-28,0,0.578376,0.421624,1.632911,2.24,5,https://www.bestfightodds.com/events/ufc-seattle-4018,https://www.bestfightodds.com/fighters/Mansur-Abdul-Malik-12720,Yousri Belgaroui | -110 | +118 | ... | +142 | Mar 29th 2026
2026-03-28,Michael Chiesa,Niko Price,2026-03-28,0,0.880059,0.119941,1.090298,8.0,4,https://www.bestfightodds.com/events/ufc-seattle-4018,https://www.bestfightodds.com/fighters/Michael-Chiesa-3317,Niko Price | +375 | +550 | ... | +700 | Mar 29th 2026
2026-03-28,Navajo Stirling,Bruno Lopes,2026-03-28,0,0.846898,0.153102,1.12987,6.25,5,https://www.bestfightodds.com/events/ufc-seattle-4095,https://www.bestfightodds.com/fighters/Navajo-Stirling-18344,Bruno Lopes | +355 | +310 | ... | +600 | Mar 28th 2026
2026-03-28,Terrance McKinney,Kyle Nelson,2026-03-28,0,0.634146,0.365854,1.512821,2.6,5,https://www.bestfightodds.com/events/ufc-seattle-4018,https://www.bestfightodds.com/fighters/Terrance-McKinney-9286,Kyle Nelson | +150 | +118 | ... | +165 | Mar 29th 2026
2026-04-04,Abdul Rakhman Yakhyaev,Brendson Ribeiro,2026-04-04,0,0.89441,0.10559,1.06993,9.0,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Abdul-Rakhman-Yakhyaev-21618,Brendson Ribeiro | +850 | +290 | ... | +850 | Apr 4th 2026
2026-04-04,Alessandro Costa,Stewart Nicoll,2026-04-04,0,0.777593,0.222407,1.229885,4.3,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Alessandro-Costa-14121,Stewart Nicoll | +350 | +300 | ... | +350 | Apr 4th 2026
2026-04-04,Dione Barbosa,Melissa Gatto,2026-04-04,0,0.5,0.5,1.892857,1.909091,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Dione-Barbosa-12811,Melissa Gatto | -135 | -112 | ... | +100 | Apr 4th 2026
2026-04-04,Lando Vannata,Darrius Flowers,2026-04-04,0,0.667969,0.332031,1.416667,2.85,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Lando-Vannata-4341,Darrius Flowers | +145 | +175 | ... | +225 | Apr 4th 2026
2026-04-04,Renato Moicano,Chris Duncan,2026-04-04,0,0.4346,0.5654,2.18,1.675676,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Renato-Moicano-5598,Chris Duncan | -175 | -150 | ... | -134 | Apr 4th 2026
2026-04-04,Virna Jandiroba,Tabatha Ricci,2026-04-04,0,0.55066,0.44934,1.724638,2.12,5,https://www.bestfightodds.com/events/ufc-vegas-115-4107,https://www.bestfightodds.com/fighters/Virna-Jandiroba-7726,Tabatha Ricci | +135 | +105 | ... | +118 | Apr 4th 2026
2026-04-11,Azamat Murzakanov,Paulo Costa,2026-04-11,0,0.688898,0.311102,1.377358,3.05,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Azamat-Murzakanov-7264,Paulo Costa | +190 | +200 | ... | +230 | Apr 11th 2026
2026-04-11,Charles Radtke,Francisco Prado,2026-04-11,0,0.604317,0.395683,1.571429,2.4,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Charles-Radtke-10622,Francisco Prado | +210 | +124 | ... | +143 | Apr 11th 2026
2026-04-11,Cub Swanson,Nate Landwehr,2026-04-11,0,0.543611,0.456389,1.746269,2.08,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Cub-Swanson-387,Nate Landwehr | -155 | -110 | ... | +125 | Apr 11th 2026
2026-04-11,Curtis Blaydes,Josh Hokit,2026-04-11,0,0.493593,0.506407,1.925926,1.877193,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Curtis-Blaydes-5732,Josh Hokit | +140 | -135 | ... | +100 | Apr 11th 2026
2026-04-11,Dominick Reyes,Johnny Walker,2026-04-11,0,0.609702,0.390298,1.555556,2.43,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Dominick-Reyes-7225,Johnny Walker | +130 | +130 | ... | +175 | Apr 11th 2026
2026-04-11,Jiri Prochazka,Carlos Ulberg,2026-04-11,0,0.5,0.5,1.909091,1.909091,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Jiri-Prochazka-6058,Carlos Ulberg | -170 | -125 | ... | -110 | Apr 11th 2026
2026-04-11,Kelvin Gastelum,Vicente Luque,2026-04-11,0,0.698492,0.301508,1.359712,3.15,5,https://www.bestfightodds.com/events/ufc-327-4074,https://www.bestfightodds.com/fighters/Kelvin-Gastelum-4061,Vicente Luque | +170 | +200 | ... | +235 | Apr 11th 2026
