event_year,tour,player_a,player_b,source_event_id,scheduled_match_start,snapshot_timestamp,bookmaker_last_update,snapshot_before_start,bookmaker_update_before_start,snapshot_gap_minutes
2022,wta,Bernarda Pera,Ekaterina Alexandrova,5341f99f9d0e1f934e10b31bd9c03f1f,2022-01-17 02:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,485.0
2022,wta,Claire Liu,Veronika Kudermetova,f7827bf153277d4f351e6abe16159f13,2022-01-17 02:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,485.0
2022,wta,Alison Van Uytvanck,Cristina Bucsa,ab6df1e2efe8471fbc92dc0e73103851,2022-01-17 02:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,485.0
2022,wta,Lucia Bronzetti,Varvara Gracheva,7d26c593e89552076a25e7ae26639155,2022-01-17 03:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,560.0
2022,wta,Anhelina Kalinina,Jessica Pegula,b95fd50c09bb660756e45389a387f7c9,2022-01-17 03:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,560.0
2022,wta,Anna Karolina Schmiedlova,Jelena Ostapenko,5270d1c8f303c0a75d477ab64bf55b03,2022-01-17 03:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,560.0
2022,wta,Coco Gauff,Qiang Wang,395e0ac4d717f4a02a3c73297d453968,2022-01-17 03:15:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,560.0
2022,wta,Elena Gabriela Ruse,Jasmine Paolini,54ba47df7f1eef373544a45cb18da9b8,2022-01-17 04:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,605.0
2022,wta,Panna Udvardy,Victoria Azarenka,fec95057d5381a9904fde1bfc363e1a4,2022-01-17 04:00:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,605.0
2022,wta,Jil Teichmann,Petra Martic,3555f49ca7ab441efd5c50b0e6a0a12b,2022-01-17 04:30:00+00:00,2022-01-16 17:55:00+00:00,2022-01-16 17:48:55+00:00,True,True,635.0
