tour,player_id,player_name,needs_age,needs_hand,needs_height,affected_rows,latest_event_date,missing_fields
atp,N0CS,L. Neumayer,True,True,True,1,2025-07-21,"age,hand,height_cm"
atp,P0AY,L. Pavlovic,True,True,True,1,2026-02-09,"age,hand,height_cm"
atp,PF39,L. Pouille,True,True,True,2,2025-01-27,"age,hand,height_cm"
atp,R0FS,L. Riedi,True,True,True,6,2025-08-24,"age,hand,height_cm"
atp,SU87,L. Sonego,True,True,True,52,2026-01-18,"age,hand,height_cm"
atp,T0HA,L. Tien,True,True,True,66,2026-03-18,"age,hand,height_cm"
atp,TC01,L. Tu,True,True,True,4,2025-03-05,"age,hand,height_cm"
atp,V0DZ,L. Van Assche,True,True,True,3,2025-11-02,"age,hand,height_cm"
atp,A0FC,M. Arnaldi,True,True,True,45,2026-03-18,"age,hand,height_cm"
atp,B0GG,M. Bellucci,True,True,True,34,2026-03-18,"age,hand,height_cm"
atp,BK40,M. Berrettini,True,True,True,43,2026-03-18,"age,hand,height_cm"
atp,C0HT,M. Cassone,True,True,True,1,2025-07-21,"age,hand,height_cm"
atp,C977,M. Cilic,True,True,True,32,2026-03-18,"age,hand,height_cm"
atp,D0DT,M. Damm Jr,True,True,True,10,2026-03-18,"age,hand,height_cm"
atp,D0L3,M. Dodig,True,True,True,1,2025-07-20,"age,hand,height_cm"
atp,EA13,M. Echargui,True,True,True,3,2026-02-23,"age,hand,height_cm"
atp,F724,M. Fucsovics,True,True,True,37,2026-03-18,"age,hand,height_cm"
atp,G0GD,M. Gigante,True,True,True,10,2025-07-27,"age,hand,height_cm"
atp,GC88,M. Giron,True,True,True,64,2026-03-18,"age,hand,height_cm"
atp,GH33,M. Guinard,True,True,True,3,2025-02-10,"age,hand,height_cm"
atp,KI95,M. Kecmanovic,True,True,True,63,2026-03-18,"age,hand,height_cm"
atp,K0O4,M. Kouame,True,True,True,3,2026-03-18,"age,hand,height_cm"
atp,KC12,M. Krueger,True,True,True,3,2025-07-14,"age,hand,height_cm"
atp,K926,M. Kukushkin,True,True,True,1,2025-01-27,"age,hand,height_cm"
atp,L0GH,M. Lajal,True,True,True,3,2025-10-13,"age,hand,height_cm"
atp,L0IL,M. Landaluce,True,True,True,7,2026-03-18,"age,hand,height_cm"
atp,MN13,M. Marterer,True,True,True,1,2025-05-25,"age,hand,height_cm"
atp,MK66,M. McDonald,True,True,True,28,2026-03-04,"age,hand,height_cm"
atp,MP01,M. Mmoh,True,True,True,7,2026-01-05,"age,hand,height_cm"
atp,N0BS,M. Navone,True,True,True,47,2026-03-18,"age,hand,height_cm"
atp,P0GQ,M. Poljicak,True,True,True,1,2025-07-20,"age,hand,height_cm"
atp,R0KD,M. Rottgering,True,True,True,2,2026-02-09,"age,hand,height_cm"
atp,S0EK,M. Soto,True,True,True,1,2026-02-23,"age,hand,height_cm"
atp,T0FI,M. Topo,True,True,True,1,2025-10-13,"age,hand,height_cm"
atp,TA29,M. Trungelliti,True,True,True,1,2025-07-14,"age,hand,height_cm"
atp,Y268,M. Ymer,True,True,True,2,2025-10-13,"age,hand,height_cm"
atp,AC39,M. Zayid,True,True,True,1,2026-02-16,"age,hand,height_cm"
atp,Z0BZ,M. Zheng,True,True,True,4,2026-03-04,"age,hand,height_cm"
atp,A0K3,N. Arseneault,True,True,True,2,2025-07-27,"age,hand,height_cm"
atp,B0NN,N. Basavareddy,True,True,True,21,2026-01-18,"age,hand,height_cm"
atp,BG23,N. Basilashvili,True,True,True,19,2026-03-18,"age,hand,height_cm"
atp,BT72,N. Borges,True,True,True,66,2026-03-18,"age,hand,height_cm"
atp,B0U4,N. Budkov Kjaer,True,True,True,6,2026-02-09,"age,hand,height_cm"
atp,D643,N. Djokovic,True,True,True,56,2026-03-04,"age,hand,height_cm"
atp,GB93,N. Gombos,True,True,True,2,2025-07-21,"age,hand,height_cm"
atp,J551,N. Jarry,True,True,True,24,2026-02-23,"age,hand,height_cm"
atp,KE17,N. Kyrgios,True,True,True,5,2026-01-04,"age,hand,height_cm"
atp,M0AW,N. Mejia,True,True,True,1,2025-07-14,"age,hand,height_cm"
atp,MW18,N. Moreno De Alboran,True,True,True,1,2025-05-07,"age,hand,height_cm"
atp,C0AK,O. Crawford,True,True,True,1,2025-06-30,"age,hand,height_cm"
atp,J553,O. Jasika,True,True,True,1,2025-01-12,"age,hand,height_cm"
atp,T0GR,O. Tarvet,True,True,True,2,2025-06-30,"age,hand,height_cm"
atp,V0AM,O. Virtanen,True,True,True,8,2026-02-23,"age,hand,height_cm"
atp,CD85,P. Carreno Busta,True,True,True,22,2026-02-23,"age,hand,height_cm"
atp,H996,P. Herbert,True,True,True,10,2026-02-16,"age,hand,height_cm"
atp,K09F,P. Kotov,True,True,True,1,2025-01-12,"age,hand,height_cm"
