event_date,tour,tourney_name,bucket,round,winner,loser_name,player_a,player_b,candidate_source,candidate_date,candidate_names,candidate_tournament,candidate_has_numeric_odds,classification
2023-09-16,atp,Davis Cup WG2 R1: URU vs EGY,Davis Cup WG2 R1: URU vs EGY 2023,RR,Joaquin  Aguilar Cardozo ,Amr Elsayed Abdou Ahmed Mohamed,Amr Elsayed Abdou Ahmed Mohamed,Joaquin  Aguilar Cardozo ,betexplorer_team_events,2023-09-17,Aguilar Cardozo J. vs Elsayed A.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: URU vs EGY,Davis Cup WG2 R1: URU vs EGY 2023,RR,Karim Mohamed Maamoun,Franco Roncadelli,Franco Roncadelli,Karim Mohamed Maamoun,betexplorer_team_events,2023-09-16,Maamoun K.M. vs Roncadelli F.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-16,atp,Davis Cup WG2 R1: URU vs EGY,Davis Cup WG2 R1: URU vs EGY 2023,RR,Mohamed Safwat,Ignacio Carou,Ignacio Carou,Mohamed Safwat,betexplorer_team_events,2023-09-16,Safwat M. vs Carou I.,dc-wg2-2023,False,source_has_no_numeric_odds
2023-09-18,wta,Guadalajara,Guadalajara 2023,R32,Taylor Townsend,Elvina Kalieva,Elvina Kalieva,Taylor Townsend,tennis_data,2023-09-19,Townsend T. vs Kalieva E.,Guadalajara Open,False,source_has_no_numeric_odds
2023-09-20,atp,Chengdu,Chengdu 2023,R32,Arthur Rinderknech,Li Tu,Arthur Rinderknech,Li Tu,tennis_data,2023-09-21,Rinderknech A. vs Tu L.,Chengdu Open,False,source_has_no_numeric_odds
2023-11-07,wta,BJK Cup Finals,BJK Cup Finals 2023,RR,Danielle Collins,Celine Naef,Celine Naef,Danielle Collins,betexplorer_team_events,2023-11-09,Collins D. vs Naef C.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-07,wta,BJK Cup Finals,BJK Cup Finals 2023,RR,Leylah Fernandez,Sara Sorribes Tormo,Leylah Fernandez,Sara Sorribes Tormo,betexplorer_team_events,2023-11-08,Fernandez L. vs Sorribes Tormo S.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-07,wta,BJK Cup Finals,BJK Cup Finals 2023,RR,Marina Stakusic,Magdalena Frech,Magdalena Frech,Marina Stakusic,betexplorer_team_events,2023-11-09,Stakusic M. vs Frech M.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-07,wta,BJK Cup Finals,BJK Cup Finals 2023,RR,Martina Trevisan,Alize Cornet,Alize Cornet,Martina Trevisan,betexplorer_team_events,2023-11-08,Trevisan M. vs Cornet A.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Arantxa Rus,Dayana Yastremska,Arantxa Rus,Dayana Yastremska,betexplorer_team_events,2023-11-11,Rus A. vs Yastremska D.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Harriet Dart,Caijsa Wilda Hennemann,Caijsa Wilda Hennemann,Harriet Dart,betexplorer_team_events,2023-11-12,Dart H. vs Hennemann C. W.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Jaqueline Cristian,Lola Radivojevic,Jaqueline Cristian,Lola Radivojevic,betexplorer_team_events,2023-11-11,Cristian J. vs Radivojevic L.,bjk-wg-2023,False,source_has_no_numeric_odds
2023-11-10,wta,BJK Cup Playoffs,BJK Cup Playoffs 2023,RR,Mai Hontama,Maria Fernanda Herazo Gonzalez,Mai Hontama,Maria Fernanda Herazo Gonzalez,betexplorer_team_events,2023-11-11,Hontama M. vs Herazo Gonzalez M.,bjk-wg-2023,False,source_has_no_numeric_odds
