tour,event_date,tourney_id,tourney_name,tournament_seed,tourney_level,surface,draw_size,match_num,round,best_of,minutes,score,winner,loser_name,winner_rank,loser_rank,winner_rank_points,loser_rank_points,player_a,player_b,target,player_a_id,player_b_id,player_a_rank,player_b_rank,player_a_rank_points,player_b_rank_points,player_a_age,player_b_age,player_a_hand,player_b_hand,player_a_height_cm,player_b_height_cm,player_a_seed,player_b_seed,player_a_entry,player_b_entry,player_a_birth_date,player_a_birth_place,player_a_country_code,player_a_country_name,player_a_backhand,player_a_weight_kg,player_b_birth_date,player_b_birth_place,player_b_country_code,player_b_country_name,player_b_backhand,player_b_weight_kg,b365_a,b365_b,ps_a,ps_b,max_a,max_b,avg_a,avg_b,odds_date_diff,year
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,272,R32,3,108.0,6-3 3-6 6-1,Misaki Doi,Kristina Kucova,105.0,97.0,771.0,807.0,Kristina Kucova,Misaki Doi,0,201568,201595,97.0,105.0,807.0,771.0,31.6,30.6,R,L,163.0,159.0,,,,,,,,,,,,,,,,,1.8,2.0,1.79,2.12,1.89,2.12,1.8,1.99,1.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,273,R32,3,154.0,5-7 6-4 6-3,Anastasia Gasanova,Elina Svitolina,130.0,15.0,587.0,2726.0,Anastasia Gasanova,Elina Svitolina,1,214181,202494,130.0,15.0,587.0,2726.0,22.6,27.3,R,R,172.0,174.0,,8,,,1999-05-15,"Saratov, Russia",RUS,Russia,,,1994-09-12,"Odesa, Ukraine",UKR,Ukraine,,,5.5,1.14,8.12,1.1,8.75,1.14,6.77,1.1,1.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,274,R32,3,125.0,6-2 0-6 6-4,Maria Sakkari,Tamara Zidansek,6.0,30.0,4385.0,1876.0,Maria Sakkari,Tamara Zidansek,1,206289,214461,6.0,30.0,4385.0,1876.0,26.4,24.0,R,R,172.0,168.0,3,,,,1995-07-25,"Athens, Greece",GRE,Greece,,,1997-12-26,"Postonja, Slovenia",SLO,Slovenia,,,1.14,5.5,1.15,6.34,1.16,7.0,1.13,5.75,0.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,288,R16,3,138.0,7-6(5) 2-6 6-4,Shelby Rogers,Maria Sakkari,40.0,6.0,1583.0,4385.0,Maria Sakkari,Shelby Rogers,0,206289,201603,6.0,40.0,4385.0,1583.0,26.4,29.2,R,R,172.0,175.0,3,,,,1995-07-25,"Athens, Greece",GRE,Greece,,,,,,,,,1.4,3.0,1.43,3.09,1.49,3.27,1.4,2.93,2.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,275,R32,3,77.0,6-1 6-3,Shelby Rogers,Maddison Inglis,40.0,141.0,1583.0,549.0,Maddison Inglis,Shelby Rogers,0,213666,201603,141.0,40.0,549.0,1583.0,23.9,29.2,R,R,171.0,175.0,,,Q,,1998-01-14,"Perth, Australia",AUS,Australia,,,,,,,,,4.33,1.22,4.18,1.27,4.4,1.27,4.07,1.23,1.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,277,R32,3,119.0,6-4 1-6 6-1,Elena Rybakina,Storm Hunter,14.0,132.0,2855.0,581.0,Elena Rybakina,Storm Hunter,1,214981,204411,14.0,132.0,2855.0,581.0,22.5,27.3,R,L,184.0,166.0,7,,,WC,1999-06-17,"Moscow, Russia",KAZ,Kazakhstan,,,1994-08-11,"Rockhampton, Australia",AUS,Australia,,,1.2,4.5,1.22,4.7,1.24,5.52,1.2,4.4,0.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,278,R32,3,79.0,6-3 6-3,Iga Swiatek,Daria Saville,9.0,421.0,3786.0,126.0,Daria Saville,Iga Swiatek,0,201611,216347,421.0,9.0,126.0,3786.0,27.8,20.5,R,R,166.0,176.0,,5,Q,,1994-03-05,"Moscow, Russia",AUS,Australia,,,2001-05-31,"Warsaw, Poland",POL,Poland,,,4.5,1.2,4.94,1.21,5.5,1.25,4.4,1.21,1.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,279,R32,3,77.0,6-3 6-4,Leylah Fernandez,Ekaterina Alexandrova,24.0,34.0,2284.0,1736.0,Ekaterina Alexandrova,Leylah Fernandez,0,206420,220367,34.0,24.0,1736.0,2284.0,27.1,19.3,R,L,175.0,168.0,,,,,1994-11-15,"Chelyabinsk, Russia",RUS,Russia,,,2002-09-06,"Montreal, Quebec",CAN,Canada,,,2.37,1.57,2.17,1.76,2.43,1.86,2.21,1.65,0.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,280,R32,3,140.0,6-7(4) 7-5 6-2,Priscilla Hon,Petra Kvitova,263.0,17.0,266.0,2660.0,Petra Kvitova,Priscilla Hon,0,201520,211880,17.0,263.0,2660.0,266.0,31.8,23.6,L,R,183.0,171.0,,,,WC,1990-03-08,"Bilovec, Czech Republic",CZE,Czech Republic,,,1998-05-10,"Brisbane, Australia",AUS,Australia,,,1.12,6.0,1.13,6.84,1.15,7.25,1.12,6.02,0.0,2022
wta,2022-01-03,2022-2014,Adelaide 1,adelaide 1,P,Hard,30,281,R32,3,77.0,6-3 6-2,Victoria Azarenka,Paula Badosa,27.0,8.0,2166.0,3849.0,Paula Badosa,Victoria Azarenka,0,211651,201458,8.0,27.0,3849.0,2166.0,24.1,32.4,R,R,180.0,180.0,4,,,,1997-11-15,"New York City, USA",ESP,Spain,,,1989-07-31,"Minsk, Belarus",BLR,Belarus,,,1.8,2.0,1.81,2.1,1.95,2.14,1.81,1.98,1.0,2022
